2025-11-30 23:27:14,004 [INFO] app.main(): Loaded task configs [(<TrueTaskType.MenuSelect: 'Menu Selection'>, 5, [{'target_index': 4}, {'target_index': 5}, {'target_index': 4}, {'target_index': 5}, {'target_index': 3}]), (<TrueTaskType.DragDrop: 'Drag and Drop'>, 5, [{'target_area': 'B'}, {'target_area': 'D'}, {'target_area': 'A'}, {'target_area': 'B'}, {'target_area': 'D'}]), (<TrueTaskType.KeyboardInput: 'Keyboard Input'>, 5, [{'target_word': 'TYPING'}, {'target_word': 'MONITOR'}, {'target_word': 'NETWORK'}, {'target_word': 'PRACTICE'}, {'target_word': 'LANGUAGE'}])]
2025-11-30 23:27:17,043 [INFO] controller.start_study(): Study started.
2025-11-30 23:27:19,272 [INFO] controller.start_next_trial(): Start trial 1 of task MenuSelect
2025-11-30 23:27:23,783 [DEBUG] mouse_listener.on_move(): Mouse moved to (654.0, 427.0)
2025-11-30 23:27:23,791 [DEBUG] mouse_listener.on_move(): Mouse moved to (656.0, 429.0)
2025-11-30 23:27:23,798 [DEBUG] mouse_listener.on_move(): Mouse moved to (658.0, 432.0)
2025-11-30 23:27:23,805 [DEBUG] mouse_listener.on_move(): Mouse moved to (662.0, 437.0)
2025-11-30 23:27:23,813 [DEBUG] mouse_listener.on_move(): Mouse moved to (664.0, 440.0)
2025-11-30 23:27:23,821 [DEBUG] mouse_listener.on_move(): Mouse moved to (665.0, 444.0)
2025-11-30 23:27:23,836 [DEBUG] mouse_listener.on_move(): Mouse moved to (667.0, 448.0)
2025-11-30 23:27:23,842 [DEBUG] mouse_listener.on_move(): Mouse moved to (669.0, 452.0)
2025-11-30 23:27:23,851 [DEBUG] mouse_listener.on_move(): Mouse moved to (672.0, 457.0)
2025-11-30 23:27:23,860 [DEBUG] mouse_listener.on_move(): Mouse moved to (673.0, 460.0)
2025-11-30 23:27:23,865 [DEBUG] mouse_listener.on_move(): Mouse moved to (675.0, 466.0)
2025-11-30 23:27:23,876 [DEBUG] mouse_listener.on_move(): Mouse moved to (677.0, 472.0)
2025-11-30 23:27:23,883 [DEBUG] mouse_listener.on_move(): Mouse moved to (679.0, 477.0)
2025-11-30 23:27:23,888 [DEBUG] mouse_listener.on_move(): Mouse moved to (681.0, 483.0)
2025-11-30 23:27:23,897 [DEBUG] mouse_listener.on_move(): Mouse moved to (683.0, 487.0)
2025-11-30 23:27:23,909 [DEBUG] mouse_listener.on_move(): Mouse moved to (684.0, 491.0)
2025-11-30 23:27:23,912 [DEBUG] mouse_listener.on_move(): Mouse moved to (686.0, 496.0)
2025-11-30 23:27:23,920 [DEBUG] mouse_listener.on_move(): Mouse moved to (686.0, 500.0)
2025-11-30 23:27:23,927 [DEBUG] mouse_listener.on_move(): Mouse moved to (687.0, 503.0)
2025-11-30 23:27:23,941 [DEBUG] mouse_listener.on_move(): Mouse moved to (688.0, 507.0)
