participant_id,task,trail,label,consecutive_frames
1,POINT_N_CLICK,3,LEFT_PRESS,9
1,POINT_N_CLICK,3,LEFT_RELEASE,15
1,POINT_N_CLICK,3,NONE,1
1,POINT_N_CLICK,4,NONE,63
1,POINT_N_CLICK,4,LEFT_PRESS,9
1,POINT_N_CLICK,4,LEFT_RELEASE,14
1,POINT_N_CLICK,4,NONE,33
1,POINT_N_CLICK,4,LEFT_PRESS,5
1,POINT_N_CLICK,4,LEFT_RELEASE,12
1,POINT_N_CLICK,4,NONE,37
1,POINT_N_CLICK,4,LEFT_PRESS,6
1,POINT_N_CLICK,4,LEFT_RELEASE,13
1,POINT_N_CLICK,4,NONE,4
1,RIGHT_CLICK,0,NONE,35
1,RIGHT_CLICK,0,RIGHT_PRESS,12
1,RIGHT_CLICK,0,RIGHT_RELEASE,12
1,RIGHT_CLICK,0,NONE,7
1,RIGHT_CLICK,1,NONE,28
1,RIGHT_CLICK,1,RIGHT_PRESS,10
1,RIGHT_CLICK,1,RIGHT_RELEASE,15
1,RIGHT_CLICK,2,NONE,48
1,RIGHT_CLICK,2,RIGHT_PRESS,5
1,RIGHT_CLICK,2,RIGHT_RELEASE,5
1,RIGHT_CLICK,2,NONE,15
1,RIGHT_CLICK,3,NONE,31
1,RIGHT_CLICK,3,RIGHT_PRESS,9
1,RIGHT_CLICK,3,RIGHT_RELEASE,13
1,RIGHT_CLICK,3,NONE,7
1,RIGHT_CLICK,4,NONE,39
1,RIGHT_CLICK,4,RIGHT_PRESS,8
1,RIGHT_CLICK,4,RIGHT_RELEASE,13
1,RIGHT_CLICK,4,NONE,6
1,RIGHT_CLICK,5,NONE,48
1,RIGHT_CLICK,5,RIGHT_PRESS,9
1,RIGHT_CLICK,5,RIGHT_RELEASE,15
1,RIGHT_CLICK,6,NONE,36
1,RIGHT_CLICK,6,RIGHT_PRESS,7
1,RIGHT_CLICK,6,RIGHT_RELEASE,15
1,RIGHT_CLICK,6,NONE,3
1,RIGHT_CLICK,7,NONE,37
1,RIGHT_CLICK,7,RIGHT_PRESS,7
1,RIGHT_CLICK,7,RIGHT_RELEASE,11
1,RIGHT_CLICK,7,NONE,8
1,RIGHT_CLICK,8,NONE,46
1,RIGHT_CLICK,8,RIGHT_PRESS,8
1,RIGHT_CLICK,8,RIGHT_RELEASE,14
1,RIGHT_CLICK,8,NONE,3
1,RIGHT_CLICK,9,NONE,25
