pid,task_type,trial_index,complete_time,is_correct,MenuSelect-menu_length,MenuSelect-target_index,MenuSelect-selected_index,MenuSelect-error_distance,MenuSelect-target_distance,MenuSelect-moving_distance,DragDrop-target_area,DragDrop-dropped_area,DragDrop-error_distance,DragDrop-target_distance,DragDrop-drag_distance,DragDrop-moving_distance,KeyboardInput-target_word,KeyboardInput-entered_word,KeyboardInput-num_key_clicks,KeyboardInput-num_backspaces,KeyboardInput-moving_distance,system
1,MenuSelect,4,1.129227876663208,0,6.0,0.0,,1273.3153576392613,111.68258592994702,90.39056178878316,,,,,,,,,,,,gesture
1,MenuSelect,5,3.965427875518799,1,6.0,1.0,1.0,1261.7372943683642,139.8177385026664,268.08646743651167,,,,,,,,,,,,gesture
1,DragDrop,1,6.408200979232788,1,,,,,,,A,A,754.8907205682158,754.8907205682158,0.0,620.4801680960195,,,,,,touchpad
1,DragDrop,2,2.760945081710815,1,,,,,,,C,C,829.6565554493015,829.6565554493015,0.0,594.5051752916947,,,,,,touchpad
1,DragDrop,3,3.934546947479248,1,,,,,,,B,B,993.2512270317112,993.2512270317112,0.0,940.9580955255224,,,,,,touchpad
1,DragDrop,4,3.2060930728912354,1,,,,,,,C,C,776.3362673481125,776.3362673481125,0.0,727.861372641495,,,,,,touchpad
1,DragDrop,5,1.894636154174805,1,,,,,,,A,A,735.8505283004151,735.8505283004151,0.0,647.9256401754433,,,,,,touchpad
1,KeyboardInput,1,15.083239793777466,1,,,,,,,,,,,,,TYPING,TYPING,9.0,1.0,2835.39212442212,touchpad
1,KeyboardInput,2,15.01819920539856,1,,,,,,,,,,,,,ALGORITHM,ALGORITHM,10.0,0.0,2783.4243010944315,touchpad
1,KeyboardInput,3,11.765970945358276,1,,,,,,,,,,,,,PRACTICE,PRACTICE,9.0,0.0,2640.0329893331123,touchpad
1,KeyboardInput,4,10.76644778251648,1,,,,,,,,,,,,,COMPUTER,COMPUTER,9.0,0.0,2044.722401599051,touchpad
1,KeyboardInput,5,10.422068119049072,1,,,,,,,,,,,,,NETWORK,NETWORK,8.0,0.0,2094.685413723949,touchpad
1,MenuSelect,1,5.758010149002075,1,6.0,0.0,0.0,1149.5760087962865,111.68258592994702,58.88026420124635,,,,,,,,,,,,touchpad
