Start training script: Sun Nov 30 17:03:02 2025
Generating dataset from labeled CSV.
[Epoch 7/100] Train Loss: 0.1941 Acc: 0.9233 | Val Loss: 0.2325 Acc: 0.9159
[Epoch 8/100] Train Loss: 0.1946 Acc: 0.9258 | Val Loss: 0.2881 Acc: 0.8964
[Epoch 9/100] Train Loss: 0.1835 Acc: 0.9304 | Val Loss: 0.2442 Acc: 0.9128
[Epoch 10/100] Train Loss: 0.1884 Acc: 0.9290 | Val Loss: 0.2307 Acc: 0.9183
[Epoch 11/100] Train Loss: 0.1708 Acc: 0.9342 | Val Loss: 0.2590 Acc: 0.9046
[Epoch 12/100] Train Loss: 0.1864 Acc: 0.9324 | Val Loss: 0.2494 Acc: 0.9075
[Epoch 13/100] Train Loss: 0.1855 Acc: 0.9260 | Val Loss: 0.2814 Acc: 0.8975
[Epoch 14/100] Train Loss: 0.2044 Acc: 0.9205 | Val Loss: 0.2599 Acc: 0.9032
[Epoch 15/100] Train Loss: 0.1801 Acc: 0.9290 | Val Loss: 0.2463 Acc: 0.9086
[Epoch 16/100] Train Loss: 0.1981 Acc: 0.9248 | Val Loss: 0.3067 Acc: 0.8886
[Epoch 17/100] Train Loss: 0.1818 Acc: 0.9313 | Val Loss: 0.3455 Acc: 0.8842
[Epoch 18/100] Train Loss: 0.1850 Acc: 0.9302 | Val Loss: 0.2519 Acc: 0.9068
[Epoch 19/100] Train Loss: 0.1678 Acc: 0.9344 | Val Loss: 0.3613 Acc: 0.8753
[Epoch 20/100] Train Loss: 0.1963 Acc: 0.9273 | Val Loss: 0.2437 Acc: 0.9183
Early stopped.
Training completed in 66.88 seconds.

---- Test result of model win5-weight01 ----
Loss: 0.2338 Acc: 0.9181
